Index,Date,Time,Counter,Load 50 kN_Filtered,Posn,LVDT1,LVDT2,Avg_LVDT,Avg_displacement
0,44712.63411,0,1002,0.004227,13.481981,0.110101,0.111467,0.110784,2.083025
1,44712.63412,0.135477,1002,0.004216,13.481909,0.110107,0.111467,0.110787,2.083012
2,44712.63412,0.235477,1002,0.004241,13.48185,0.110097,0.111472,0.1107845,2.082981
3,44712.63412,0.335477,1002,0.004273,13.481834,0.110101,0.111469,0.110785,2.082981
4,44712.63412,0.435477,1002,0.004217,13.481891,0.110108,0.11147,0.110789,2.083011
5,44712.63412,0.535476,1002,0.004269,13.481848,0.110103,0.111471,0.110787,2.083011
6,44712.63412,0.635476,1002,0.004424,13.481884,0.11011,0.111473,0.1107915,2.083037
7,44712.63412,0.735476,1002,0.004392,13.48196,0.110114,0.111473,0.1107935,2.083037
8,44712.63412,0.835476,1002,0.004403,13.481989,0.110124,0.111471,0.1107975,2.08301
9,44712.63412,0.935476,1002,0.004249,13.481906,0.110113,0.111469,0.110791,2.083037
10,44712.63413,1.035476,1002,0.004167,13.481911,0.110101,0.111471,0.110786,2.083037
11,44712.63413,1.135476,1002,0.004369,13.481949,0.110097,0.111471,0.110784,2.082998
12,44712.63413,1.235476,1002,0.004546,13.481906,0.110108,0.111471,0.1107895,2.082998
13,44712.63413,1.335476,1002,0.004343,13.481904,0.110111,0.111477,0.110794,2.083031
14,44712.63413,1.435476,1002,0.004347,13.481953,0.110105,0.111481,0.110793,2.083004
15,44712.63413,1.535475,1002,0.004488,13.481911,0.11011,0.111478,0.110794,2.083004
16,44712.63413,1.635475,1002,0.004292,13.481906,0.110123,0.111472,0.1107975,2.083052
17,44712.63413,1.735475,1002,0.004276,13.481945,0.110126,0.111476,0.110801,2.083043
18,44712.63413,1.835475,1002,0.004433,13.481962,0.110122,0.111477,0.1107995,2.083002
19,44712.63414,1.935475,1002,0.004478,13.48191,0.110123,0.111475,0.110799,2.083014
20,44712.63414,2.035475,1002,0.004311,13.481961,0.110115,0.111467,0.110791,2.083014
21,44712.63414,2.135475,1002,0.004269,13.481904,0.11011,0.111463,0.1107865,2.082989
22,44712.63414,2.235475,1002,0.004286,13.481874,0.110111,0.111463,0.110787,2.082989
23,44712.63414,2.335475,1002,0.004229,13.481973,0.110108,0.111465,0.1107865,2.083008
24,44712.63414,2.435475,1002,0.004186,13.481949,0.11011,0.111473,0.1107915,2.08299
25,44712.63414,2.535475,1002,0.004354,13.481985,0.110112,0.111474,0.110793,2.08299
26,44712.63414,2.635474,1002,0.004437,13.481878,0.110107,0.111476,0.1107915,2.082997
27,44712.63415,2.735474,1002,0.004639,13.481962,0.110102,0.111479,0.1107905,2.083004
28,44712.63415,2.835474,1002,0.004551,13.481964,0.110099,0.111482,0.1107905,2.08305
29,44712.63415,2.935474,1002,0.004429,13.481874,0.110103,0.111484,0.1107935,2.082974
30,44712.63415,3.035474,1002,0.004329,13.481901,0.110109,0.111483,0.110796,2.082974
31,44712.63415,3.135474,1002,0.004121,13.481905,0.110109,0.111479,0.110794,2.083015
32,44712.63415,3.235474,1002,0.004268,13.481865,0.110111,0.111482,0.1107965,2.083015
33,44712.63415,3.335474,1002,0.004318,13.481873,0.110105,0.111478,0.1107915,2.083027
