Index,Date,Time,Counter,Load 50 kN_Filtered,Posn,LVDT1,LVDT2,Avg_LVDT,Avg_displacement
0,44712.67016,0,1003,0.005218,13.567033,0.252191,0.249126,0.2506585,2.082997
1,44712.67016,0.078515,1003,0.005079,13.567071,0.252193,0.249128,0.2506605,2.082997
2,44712.67016,0.178515,1003,0.005104,13.567155,0.252205,0.249123,0.250664,2.082997
3,44712.67016,0.278515,1003,0.00537,13.567059,0.25221,0.249121,0.2506655,2.083005
4,44712.67016,0.378515,1003,0.005333,13.567136,0.252214,0.249112,0.250663,2.082993
5,44712.67017,0.478514,1003,0.005101,13.567105,0.252218,0.249116,0.250667,2.082993
6,44712.67017,0.578514,1003,0.004793,13.567091,0.252221,0.249114,0.2506675,2.083028
7,44712.67017,0.678514,1003,0.004998,13.567064,0.252222,0.249119,0.2506705,2.083028
8,44712.67017,0.778514,1003,0.004988,13.567087,0.252215,0.249122,0.2506685,2.083018
9,44712.67017,0.878514,1003,0.004931,13.567082,0.252211,0.24912,0.2506655,2.082994
10,44712.67017,0.978514,1003,0.004527,13.567125,0.252207,0.249122,0.2506645,2.082994
11,44712.67017,1.078514,1003,0.004688,13.567113,0.2522,0.249128,0.250664,2.083015
12,44712.67017,1.178514,1003,0.004888,13.567114,0.252203,0.249122,0.2506625,2.083015
13,44712.67018,1.278514,1003,0.004936,13.567094,0.252214,0.24912,0.250667,2.08301
14,44712.67018,1.378514,1003,0.005122,13.567055,0.252214,0.249122,0.250668,2.082997
15,44712.67018,1.478513,1003,0.004855,13.567128,0.252207,0.249123,0.250665,2.082997
16,44712.67018,1.578513,1003,0.004857,13.567162,0.252196,0.249129,0.2506625,2.082984
17,44712.67018,1.678513,1003,0.005056,13.56714,0.252196,0.24913,0.250663,2.082984
18,44712.67018,1.778513,1003,0.005177,13.567111,0.252196,0.249131,0.2506635,2.082986
19,44712.67018,1.878513,1003,0.005076,13.567133,0.252198,0.249125,0.2506615,2.083006
20,44712.67018,1.978513,1003,0.005068,13.567184,0.252197,0.249124,0.2506605,2.083006
21,44712.67018,2.078513,1003,0.005193,13.567081,0.252198,0.249124,0.250661,2.083017
22,44712.67019,2.178513,1003,0.005419,13.567118,0.2522,0.249124,0.250662,2.083017
23,44712.67019,2.278513,1003,0.005382,13.567109,0.252205,0.249125,0.250665,2.083012
