Index,Date-Time,Time,Counter,Load 50 kN_Filtered,Posn_Filtered,LVDT1_Filtered,LVDT2_Filtered,Avg_LVDT,Avg_displacement_Filtered
0,03/05/2022,0,998,0.285512,14.028191,0.337014,0.348305,0.3426595,2.08296
1,03/05/2022,0.081556,998,0.288956,14.028137,0.337186,0.348416,0.342801,2.08296
2,03/05/2022,0.181556,998,0.295384,14.028233,0.337504,0.348616,0.34306,2.08296
3,03/05/2022,0.281556,998,0.295185,14.028229,0.33747,0.348585,0.3430275,2.082969
4,03/05/2022,0.381556,998,0.289081,14.028259,0.337166,0.348391,0.3427785,2.082927
5,03/05/2022,0.481555,998,0.290146,14.028306,0.337232,0.348435,0.3428335,2.082934
6,03/05/2022,0.581555,998,0.297439,14.028282,0.337579,0.348656,0.3431175,2.082934
7,03/05/2022,0.681555,998,0.299658,14.028253,0.337662,0.348702,0.343182,2.082937
8,03/05/2022,0.781555,998,0.291714,14.028344,0.337276,0.348456,0.342866,2.082937
9,03/05/2022,0.881555,998,0.288228,14.028204,0.337141,0.348383,0.342762,2.082913
10,03/05/2022,0.981555,998,0.296435,14.028192,0.337576,0.34866,0.343118,2.082934
11,03/05/2022,1.081555,998,0.301827,14.028185,0.337811,0.3488,0.3433055,2.082934
12,03/05/2022,1.181555,998,0.294802,14.028221,0.337459,0.348566,0.3430125,2.082962
13,03/05/2022,1.281555,998,0.288449,14.028239,0.337156,0.348369,0.3427625,2.082962
14,03/05/2022,1.381555,998,0.290914,14.028185,0.337304,0.348485,0.3428945,2.082981
15,03/05/2022,1.481555,998,0.298619,14.028138,0.337669,0.348723,0.343196,2.082968
16,03/05/2022,1.581554,998,0.297448,14.028274,0.337575,0.348648,0.3431115,2.082919
17,03/05/2022,1.681554,998,0.289376,14.028138,0.337187,0.348388,0.3427875,2.082959
18,03/05/2022,1.781554,998,0.288485,14.028254,0.337169,0.348385,0.342777,2.082959
19,03/05/2022,1.881554,998,0.293826,14.028197,0.337411,0.348553,0.342982,2.082953
20,03/05/2022,1.981554,998,0.293283,14.028188,0.337389,0.348531,0.34296,2.082953
21,03/05/2022,2.081554,998,0.290772,14.02826,0.337273,0.348454,0.3428635,2.082942
22,03/05/2022,2.181554,998,0.288745,14.028197,0.337176,0.348394,0.342785,2.082928
23,03/05/2022,2.281554,998,0.286459,14.028246,0.337045,0.348319,0.342682,2.082928
24,03/05/2022,2.381554,998,0.2867,14.028279,0.337068,0.348344,0.342706,2.082949
25,03/05/2022,2.481554,998,0.292092,14.028216,0.337329,0.348499,0.342914,2.082946
26,03/05/2022,2.581553,998,0.294702,14.028279,0.337455,0.348562,0.3430085,2.082946
27,03/05/2022,2.681553,998,0.292166,14.028259,0.337344,0.348483,0.3429135,2.082929
28,03/05/2022,2.781553,998,0.290303,14.028194,0.337254,0.348432,0.342843,2.082935
29,03/05/2022,2.881553,998,0.292836,14.02821,0.337391,0.348538,0.3429645,2.082949
30,03/05/2022,2.981553,998,0.295636,14.028194,0.337503,0.34861,0.3430565,2.082903
31,03/05/2022,3.081553,998,0.29055,14.028186,0.337245,0.348442,0.3428435,2.082903
32,03/05/2022,3.181553,998,0.288561,14.028299,0.337188,0.348421,0.3428045,2.082917
33,03/05/2022,3.281553,998,0.29678,14.028241,0.337585,0.348667,0.343126,2.082912
34,03/05/2022,3.381553,998,0.299767,14.028172,0.337706,0.348731,0.3432185,2.082912
35,03/05/2022,3.481553,998,0.291692,14.028159,0.33729,0.348466,0.342878,2.082942
36,03/05/2022,3.581553,998,0.285939,14.028165,0.337013,0.348306,0.3426595,2.082942
37,03/05/2022,3.681552,998,0.291871,14.028278,0.337342,0.348518,0.34293,2.082934
38,03/05/2022,3.781552,998,0.300327,14.02822,0.337738,0.348759,0.3432485,2.082918
39,03/05/2022,3.881552,998,0.29717,14.02827,0.337568,0.348641,0.3431045,2.0829
40,03/05/2022,3.981552,998,0.290303,14.028261,0.337256,0.348453,0.3428545,2.082906
